
                 FOXSI on-axis effective area comparisons
                assuming 15% blockage of entrance aperture
-------------------------------------------------------------------------------
The finite distance areas are slightly larger than the infinite distance
areas, even though the illuminated area on the P segments is slightly less,
because fewer rays strike the outer (back) surfaces of the next innermost 
shell in the former case than in the latter case.
-------------------------------------------------------------------------------
        |             7 modules            |            10 modules           |
        | infinite d   finite d            | infinite d   finite d           |
    E   |   A_eff       A_eff      delta A |   A_eff       A_eff     delta A |
  (keV) |   (cm^2)      (cm^2)     (cm^2)  |   (cm^2)      (cm^2)    (cm^2)  |
-------------------------------------------------------------------------------
  0.25  |  25.1880     26.6679    -1.4799  |  31.5517     33.4531    -1.9014 |
  0.50  |  24.5381     25.9788    -1.4407  |  30.7786     32.6324    -1.8538 |
  0.75  |  24.4614     25.8975    -1.4361  |  30.6877     32.5358    -1.8481 |
  1.00  |  24.5341     25.9745    -1.4404  |  30.7747     32.6282    -1.8535 |
  1.25  |  24.5488     25.9901    -1.4413  |  30.7930     32.6475    -1.8546 |
  1.50  |  24.4533     25.8888    -1.4355  |  30.6802     32.5278    -1.8476 |
  1.75  |  24.1355     25.5517    -1.4163  |  30.3033     32.1276    -1.8243 |
  2.00  |  22.0330     23.3225    -1.2895  |  27.8008     29.4710    -1.6702 |
  2.25  |  16.9497     17.9346    -0.9849  |  21.6905     22.9865    -1.2960 |
  2.50  |  18.0883     19.1412    -1.0529  |  23.0674     24.4475    -1.3801 |
  2.75  |  18.2839     19.3484    -1.0645  |  23.3047     24.6992    -1.3945 |
  3.00  |  18.4729     19.5486    -1.0757  |  23.5349     24.9434    -1.4085 |
  3.25  |  18.7048     19.7942    -1.0895  |  23.8169     25.2425    -1.4256 |
  3.50  |  19.0938     20.2064    -1.1126  |  24.2876     25.7420    -1.4543 |
  3.75  |  19.3751     20.5044    -1.1294  |  24.6289     26.1040    -1.4751 |
  4.00  |  19.6068     20.7499    -1.1431  |  24.9107     26.4029    -1.4922 |
  5.00  |  20.2569     21.4382    -1.1813  |  25.7071     27.2475    -1.5403 |
  6.00  |  20.6383     21.8415    -1.2032  |  26.1862     27.7549    -1.5687 |
  7.00  |  20.8234     22.0361    -1.2128  |  26.4381     28.0208    -1.5827 |
  8.00  |  20.8010     22.0120    -1.2109  |  26.4580     28.0416    -1.5836 |
  9.00  |  20.4546     21.6365    -1.1819  |  26.1297     27.6851    -1.5555 |
 10.00  |  19.4735     20.5844    -1.1108  |  25.1376     26.6209    -1.4833 |
 10.25  |  19.0374     20.1171    -1.0797  |  24.6923     26.1438    -1.4515 |
 10.50  |  18.4627     19.5015    -1.0387  |  24.1020     25.5113    -1.4093 |
 10.75  |  17.6840     18.6666    -0.9826  |  23.2985     24.6498    -1.3513 |
 11.00  |  16.4143     17.3050    -0.8907  |  21.9735     23.2289    -1.2554 |
 11.25  |   6.1707      6.4667    -0.2960  |   9.6281     10.1441    -0.5161 |
 11.50  |   8.7063      9.1480    -0.4417  |  12.6857     13.3834    -0.6977 |
 11.75  |   8.6584      9.0922    -0.4338  |  12.7015     13.3955    -0.6940 |
 12.00  |   8.3630      8.7734    -0.4104  |  12.4334     13.1057    -0.6723 |
 12.25  |   7.8972      8.2742    -0.3771  |  11.9690     12.6077    -0.6387 |
 12.50  |   7.2609      7.5957    -0.3348  |  11.3060     11.8996    -0.5937 |
 12.75  |   5.8310      6.0830    -0.2520  |   9.6987     10.1954    -0.4966 |
 13.00  |   4.2790      4.4624    -0.1834  |   7.4593      7.8403    -0.3810 |
 13.25  |   4.2685      4.4479    -0.1793  |   7.5159      7.8970    -0.3811 |
 13.50  |   3.4742      3.6158    -0.1415  |   6.4135      6.7360    -0.3225 |
 13.75  |   3.4052      3.5403    -0.1351  |   6.3889      6.7079    -0.3190 |
 14.00  |   3.1927      3.3150    -0.1223  |   6.1733      6.4788    -0.3056 |
 15.00  |   2.1810      2.2490    -0.0680  |   5.0323      5.2723    -0.2400 |
 16.00  |   1.2699      1.2940    -0.0241  |   3.8632      4.0388    -0.1756 |
 17.00  |   0.6040      0.6013     0.0028  |   2.8141      2.9302    -0.1161 |
 18.00  |   0.2155      0.2052     0.0103  |   1.9262      1.9926    -0.0664 |
 19.00  |   0.0532      0.0479     0.0053  |   1.2135      1.2420    -0.0284 |
 20.00  |   0.0110      0.0106     4.0e-4  |   0.6777      0.6810    -0.0034 |
-------------------------------------------------------------------------------
